tags,problemId
*special,390
2-sat,28
binary search,853
bitmasks,443
brute force,1338
chinese remainder theorem,16
combinatorics,533
constructive algorithms,1405
data structures,1426
dfs and similar,767
divide and conquer,229
dp,1744
dsu,288
expression parsing,34
fft,82
flows,131
games,170
geometry,345
graph matchings,82
graphs,914
greedy,2261
hashing,173
implementation,2352
interactive,178
math,2300
matrices,106
meet-in-the-middle,43
number theory,609
probabilities,200
schedules,8
shortest paths,230
sortings,867
string suffix structures,81
strings,603
ternary search,48
trees,661
two pointers,428
