problemId,tags,rating,name,solved,games,2-sat,rank,dfs and similar,divide and conquer,string suffix structures,implementation,dsu,expression parsing,data structures,brute force,binary search,trees,hashing,strings,flows,meet-in-the-middle,shortest paths,graphs,graph matchings,dp,ternary search,probabilities,bitmasks,*special,two pointers,interactive,math,matrices,number theory,constructive algorithms,geometry,combinatorics,chinese remainder theorem,greedy,schedules,sortings,fft
1783:G,data structures+divide and conquer+implementation+trees,2800.0,Weighed Tree Radius,226,False,False,grandmaster,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1783:F,dfs and similar+flows+graph matchings+graphs,2500.0,Double Sort II,515,False,False,grandmaster,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1783:E,brute force+data structures+math+number theory,2300.0,Game of the Year,1389,False,False,master,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
1783:D,brute force+dp+implementation,2000.0,Different Arrays,2752,False,False,candidate master,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1783:C,binary search+greedy+sortings,1700.0,Yet Another Tournament,6239,False,False,expert,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1783:B,constructive algorithms+math,1100.0,Matrix of Differences,13383,False,False,pupil,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
1783:A,constructive algorithms+math+sortings,800.0,Make it Beautiful,20509,False,False,pupil,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False
1781:G,constructive algorithms+trees,3200.0,Diverse Coloring,92,False,False,grandmaster,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1781:F,combinatorics+dp+math+trees,2700.0,Bracket Insertion,414,False,False,grandmaster,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
1781:E,binary search+brute force+data structures+greedy+implementation+two pointers,2300.0,Rectangle Shrinking,1025,False,False,master,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
1781:D,brute force+math+number theory,1800.0,Many Perfect Squares,3429,False,False,expert,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
1781:C,brute force+constructive algorithms+greedy+implementation+sortings+strings,1600.0,Equal Frequencies,4655,False,False,expert,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
1781:B,brute force+greedy+sortings,1000.0,Going to the Cinema,9824,False,False,pupil,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
1781:A,geometry+math,800.0,Parallel Projection,12239,False,False,pupil,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1779:H,brute force+meet-in-the-middle,3500.0,Olympic Team Building,90,False,False,grandmaster,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1779:G,constructive algorithms+graphs+shortest paths,3000.0,The Game of the Century,191,False,False,grandmaster,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1779:F,bitmasks+constructive algorithms+dp+trees,2500.0,Xorcerer's Stones,914,False,False,grandmaster,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1779:E,constructive algorithms+graphs+greedy+interactive+sortings,2400.0,Anya's Simultaneous Exhibition,1305,False,False,grandmaster,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
1779:D,constructive algorithms+data structures+dp+dsu+greedy+sortings,1700.0,Boris and His Amazing Haircut,5296,False,False,expert,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False
1779:C,data structures+greedy,1600.0,Least Prefix Sum,8643,False,False,expert,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1779:B,constructive algorithms+math,900.0,MKnez's ConstructiveForces Task,18050,False,False,pupil,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
1779:A,constructive algorithms+greedy+strings,800.0,Hall of Fame,20008,False,False,pupil,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
1775:F,constructive algorithms+dp+greedy+math,2500.0,Laboratory on Pluto,497,False,False,grandmaster,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
1775:E,greedy+implementation,2100.0,The Human Equation,2082,False,False,master,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1775:D,dfs and similar+graphs+math+number theory+shortest paths,1800.0,Friendly Spiders,3475,False,False,expert,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
1775:C,bitmasks+math,1600.0,Interesting Sequence,6420,False,False,expert,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False
1775:B,bitmasks+constructive algorithms,1300.0,Gardener and the Array,8686,False,False,novice,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1775:A2,constructive algorithms+greedy,900.0,Gardener and the Capybaras (hard version),13957,False,False,pupil,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
1775:A1,brute force+constructive algorithms+implementation,800.0,Gardener and the Capybaras (easy version),15332,False,False,pupil,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1774:H,constructive algorithms,3500.0,Maximum Permutation,92,False,False,grandmaster,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
1774:G,brute force+combinatorics+constructive algorithms+data structures+dp+trees,3200.0,Segment Covering,165,False,False,grandmaster,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
1774:F2,binary search+brute force+data structures+implementation,2700.0,Magician and Pigs (Hard Version),434,False,False,grandmaster,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1774:F1,brute force+data structures+implementation,2400.0,Magician and Pigs (Easy Version),798,False,False,grandmaster,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1774:E,dfs and similar+dp+greedy+trees,1900.0,Two Chess Pieces,2398,False,False,candidate master,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1774:D,brute force+constructive algorithms+greedy+implementation+two pointers,1600.0,Same Count One,5322,False,False,expert,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
1774:C,constructive algorithms+dp+greedy,1300.0,Ice and Fire,8765,False,False,novice,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False
1774:B,constructive algorithms+greedy+math,1500.0,Coloring,8109,False,False,specialist,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
1774:A,constructive algorithms+math,800.0,Add Plus Minus Sign,18886,False,False,pupil,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
