n_submissions,rating
21,1735.0
217,893.0
2977,1408.0
149,1109.0
30,1062.0
818,1567.0
202,1646.0
508,1207.0
710,2241.0
393,776.0
2661,2722.0
583,1689.0
15,1315.0
85,999.0
41,1157.0
105,2514.0
402,1474.0
53,1004.0
1846,952.0
323,1261.0
10,1158.0
259,1396.0
561,1233.0
241,1922.0
44,1113.0
195,821.0
175,1407.0
1172,2636.0
218,1080.0
204,928.0
45,1116.0
277,1038.0
20,1331.0
43,1008.0
59,1078.0
87,924.0
632,1228.0
114,962.0
339,704.0
228,1139.0
708,1116.0
120,893.0
285,1144.0
3574,1395.0
19,888.0
931,1212.0
18,1046.0
13,1280.0
136,689.0
172,1062.0
50,1368.0
33,1173.0
21,1047.0
59,917.0
202,874.0
661,1349.0
44,1738.0
7,1274.0
1001,1082.0
409,1179.0
526,1313.0
312,1085.0
1,1264.0
103,1051.0
380,1284.0
15,1026.0
153,1520.0
612,1220.0
4,1270.0
754,1510.0
94,1257.0
23,830.0
357,1295.0
236,813.0
47,1003.0
323,921.0
29,1025.0
602,643.0
35,1119.0
335,1166.0
66,906.0
59,1245.0
445,1031.0
37,791.0
33,1574.0
621,1327.0
29,1276.0
555,1081.0
826,814.0
8,1287.0
252,1137.0
243,854.0
10,1137.0
700,953.0
116,1204.0
96,969.0
248,743.0
22,1399.0
29,1257.0
119,1465.0
63,766.0
4,1367.0
2163,1259.0
362,1213.0
12,1025.0
1827,1728.0
32,1214.0
346,1049.0
5,998.0
1383,3049.0
17,1129.0
64,1125.0
11,1390.0
2366,1380.0
8,691.0
794,942.0
480,1239.0
5230,2413.0
347,993.0
188,1256.0
50,996.0
41,1208.0
3856,1609.0
589,1054.0
3,1289.0
544,1641.0
1656,671.0
6,1249.0
271,1274.0
43,972.0
182,1177.0
819,1324.0
61,1107.0
1494,1582.0
144,1141.0
33,1104.0
4,1253.0
2357,1724.0
507,1205.0
82,1733.0
2,1287.0
1693,1251.0
1177,1479.0
17,1139.0
8,896.0
3653,3208.0
299,711.0
35,875.0
52,1284.0
60,1093.0
117,899.0
190,2141.0
572,1180.0
230,1284.0
113,932.0
1082,2187.0
217,994.0
66,1108.0
49,1132.0
272,1054.0
91,1253.0
64,1861.0
35,1452.0
120,805.0
67,700.0
555,1944.0
11,895.0
233,852.0
164,1263.0
124,1665.0
494,1569.0
194,801.0
23,1049.0
277,1077.0
1633,1252.0
138,798.0
5768,1621.0
787,1229.0
25,1161.0
19,1158.0
187,991.0
176,1199.0
1107,1146.0
27,1519.0
37,1151.0
39,1029.0
86,964.0
241,1487.0
633,1525.0
511,1294.0
883,971.0
65,1163.0
151,935.0
50,724.0
1066,1577.0
155,954.0
172,839.0
134,955.0
27,829.0
1711,2160.0
10,1264.0
382,1142.0
8,1253.0
92,1158.0
167,1312.0
222,761.0
74,706.0
58,948.0
863,1523.0
1184,1631.0
993,1802.0
1147,2079.0
86,1139.0
134,810.0
27,1185.0
1041,699.0
12,1145.0
828,1113.0
81,1127.0
230,1200.0
5,1253.0
365,1208.0
138,1213.0
257,1095.0
464,1728.0
471,748.0
344,1142.0
2465,1631.0
68,1461.0
179,1229.0
216,800.0
1348,1770.0
2312,1045.0
21,1254.0
2193,1605.0
102,1205.0
315,981.0
474,1378.0
1268,1552.0
39,1277.0
162,940.0
35,1281.0
12,1332.0
1183,924.0
1,1257.0
768,1414.0
27,1267.0
120,910.0
147,876.0
13,1135.0
85,1314.0
85,1398.0
16,1076.0
24,528.0
596,1583.0
84,899.0
165,1026.0
284,843.0
193,1136.0
251,1187.0
397,1338.0
38,1213.0
381,848.0
1,1253.0
57,453.0
81,1613.0
50,1002.0
232,1080.0
1,1273.0
123,1260.0
35,1078.0
126,1022.0
1588,2016.0
419,1324.0
114,722.0
154,791.0
24,1667.0
175,980.0
168,1128.0
234,1593.0
17,1260.0
643,736.0
188,1158.0
15,1149.0
150,721.0
251,2949.0
117,2115.0
74,1163.0
334,1378.0
966,1129.0
469,742.0
686,1531.0
4631,2213.0
173,1507.0
171,1239.0
16,1349.0
266,1160.0
230,1110.0
419,915.0
96,1470.0
52,862.0
4,1152.0
5,1383.0
39,1011.0
416,865.0
1410,1575.0
185,1126.0
1553,2640.0
22,1157.0
11,1245.0
2,1257.0
1433,1678.0
147,1349.0
9,1182.0
32,1110.0
31,1249.0
367,1472.0
111,1007.0
198,1287.0
2,1276.0
4,1284.0
54,908.0
27,1109.0
45,855.0
42,1084.0
236,1831.0
20,1141.0
409,1048.0
38,1269.0
37,813.0
2,1264.0
72,1175.0
104,1242.0
999,2837.0
135,900.0
152,1304.0
433,1040.0
9,1142.0
13,1328.0
198,1140.0
34,1151.0
530,1619.0
983,882.0
737,1011.0
1202,1862.0
25,1273.0
27,803.0
15,1182.0
407,1367.0
245,1068.0
36,1272.0
292,2709.0
32,1282.0
64,590.0
51,1215.0
30,1041.0
1549,1509.0
517,1023.0
515,1359.0
398,871.0
126,856.0
45,1083.0
157,1868.0
278,1305.0
286,1178.0
527,969.0
4,1259.0
1693,1711.0
460,686.0
180,888.0
658,1326.0
45,1262.0
227,1014.0
7,1319.0
329,583.0
66,1873.0
19,1249.0
575,1209.0
1677,658.0
81,1222.0
319,1459.0
554,1242.0
565,913.0
553,1044.0
271,1054.0
30,1247.0
33,1274.0
299,968.0
170,1072.0
234,1311.0
229,1056.0
63,419.0
707,1257.0
727,1027.0
3309,2156.0
347,1473.0
40,741.0
29,1242.0
15,1095.0
1241,946.0
103,842.0
23,1274.0
258,1204.0
1,1249.0
46,1084.0
25,1257.0
99,1021.0
245,1109.0
1979,1250.0
136,1308.0
33,1090.0
166,1316.0
49,961.0
27,1074.0
55,1176.0
14,1086.0
304,1595.0
37,1257.0
24,1299.0
97,1021.0
296,978.0
5,1249.0
206,1748.0
48,1224.0
6,1253.0
334,1038.0
2,1257.0
2829,2060.0
411,1654.0
7486,1967.0
1559,1260.0
179,1045.0
54,744.0
82,816.0
64,1007.0
409,870.0
10,1267.0
151,1177.0
29,929.0
314,1418.0
2,1294.0
146,1138.0
69,1363.0
124,1208.0
48,926.0
79,1112.0
1500,1970.0
57,742.0
128,2138.0
1861,1451.0
655,2004.0
26,1354.0
4398,2538.0
181,1610.0
518,1422.0
845,1231.0
230,1627.0
9,1175.0
115,1252.0
67,1065.0
17,1264.0
41,1463.0
66,1132.0
730,976.0
701,1113.0
4,1423.0
493,1646.0
422,1143.0
68,1039.0
187,816.0
375,1182.0
210,943.0
138,926.0
1476,2100.0
5724,3093.0
9,1010.0
267,1138.0
34,1281.0
2,1262.0
504,1308.0
10000,2589.0
255,684.0
258,831.0
4168,1676.0
138,1012.0
2848,1763.0
128,981.0
20,812.0
107,1178.0
10,1282.0
46,799.0
165,1070.0
100,1153.0
219,1141.0
1720,1279.0
451,1315.0
820,1683.0
484,1267.0
180,1046.0
103,790.0
39,1289.0
439,1494.0
2998,2117.0
87,1142.0
3,1282.0
3,1253.0
1007,1512.0
4,1359.0
38,948.0
39,1164.0
8,1249.0
40,790.0
178,987.0
450,1413.0
159,1330.0
281,2455.0
18,1194.0
560,1518.0
1,1263.0
443,1065.0
741,2608.0
77,701.0
261,931.0
3,1249.0
26,874.0
3,1248.0
3801,1987.0
777,892.0
1,1249.0
25,1273.0
82,1144.0
291,1026.0
3,1113.0
81,936.0
55,960.0
2928,1704.0
2482,1269.0
906,1142.0
68,1282.0
224,1243.0
366,1323.0
54,1226.0
7,1117.0
219,950.0
256,1861.0
121,1999.0
607,1225.0
864,1830.0
26,1115.0
667,1563.0
33,1175.0
2,1249.0
13,994.0
1009,1424.0
1557,2729.0
810,1845.0
10,1256.0
8,1387.0
57,1272.0
66,1030.0
35,1098.0
176,824.0
1501,1347.0
811,1296.0
2905,2141.0
