rank,handle,points,penalty,successfulHackCount,unsuccessfulHackCount,oldDisplayRating,newDisplayRating,points_A,rejectedAttemptCount_A,time_A,points_B,rejectedAttemptCount_B,time_B,points_C,rejectedAttemptCount_C,time_C,points_D,rejectedAttemptCount_D,time_D,points_E,rejectedAttemptCount_E,time_E,OldTrueRating,NewTrueRating
1,chensongsong,5098.0,0,4,0,1357,1684,476.0,0,766.0,896.0,0,1565.0,1736.0,0,2004.0,1590.0,1,2716.0,0.0,0,,1357,1684
2,ab2903,5066.0,0,2,0,1519,1755,490.0,0,338.0,952.0,0,731.0,1776.0,0,1699.0,1648.0,0,2686.0,0.0,0,,1519,1755
2,simulator,5066.0,0,4,2,1500,1804,488.0,0,387.0,882.0,1,1035.0,1670.0,1,2148.0,1726.0,1,1703.0,0.0,0,,1500,1804
4,randomstr,4976.0,0,6,0,1668,1789,486.0,0,451.0,892.0,0,1628.0,1616.0,0,2937.0,1382.0,1,4264.0,0.0,0,,1668,1789
5,Valaky,4944.0,0,3,1,1500,1803,486.0,0,460.0,920.0,0,1209.0,1696.0,0,2334.0,1592.0,0,3118.0,0.0,0,,1500,1803
6,Originum,4934.0,0,5,1,1500,1803,488.0,0,383.0,932.0,0,1040.0,1624.0,0,2827.0,1440.0,0,4249.0,0.0,0,,1500,1803
7,SCUTE,4932.0,0,4,0,1694,1791,486.0,0,466.0,920.0,0,1200.0,1704.0,0,2278.0,1422.0,1,4011.0,0.0,0,,1694,1791
8,coder02,4716.0,0,1,0,1500,1802,484.0,0,486.0,916.0,0,1308.0,1736.0,0,2021.0,1480.0,0,3900.0,0.0,0,,1500,1802
9,vanhanh.pham,4710.0,0,0,0,1692,1791,382.0,0,3553.0,800.0,0,3027.0,1720.0,0,2150.0,1808.0,0,1480.0,0.0,0,,1692,1791
10,ahmed_aly,4700.0,0,7,0,1655,1785,384.0,0,3503.0,804.0,0,2995.0,1588.0,2,2364.0,1224.0,0,5862.0,0.0,0,,1655,1785
11,Pandii,4668.0,0,0,0,1679,1788,488.0,0,378.0,924.0,0,1153.0,1704.0,0,2254.0,1552.0,0,3376.0,0.0,0,,1679,1788
12,Azuki.Azusa,4620.0,0,0,0,1500,1801,488.0,0,397.0,924.0,0,1162.0,1720.0,0,2105.0,1488.0,0,3840.0,0.0,0,,1500,1801
13,Gonnawin,4578.0,0,0,0,1476,1736,488.0,0,371.0,908.0,0,1413.0,1638.0,1,2378.0,1544.0,0,3461.0,0.0,0,,1476,1736
14,i.trofimow,4468.0,0,0,0,1693,1788,476.0,0,729.0,872.0,0,1934.0,1480.0,0,3956.0,1640.0,0,2711.0,0.0,0,,1693,1788
15,r_chesnokov,4454.0,0,0,0,1661,1784,434.0,1,519.0,900.0,0,1506.0,1672.0,0,2496.0,1448.0,0,4145.0,0.0,0,,1661,1784
16,simp1eton,4448.0,0,0,0,1685,1786,288.0,1,4877.0,936.0,0,972.0,1808.0,0,1487.0,1416.0,0,4407.0,0.0,0,,1685,1786
17,CharlieBrown,4436.0,0,0,0,1542,1757,486.0,0,446.0,904.0,0,1479.0,1640.0,0,2710.0,1406.0,1,4114.0,0.0,0,,1542,1757
18,talarico,4434.0,0,0,0,1500,1800,488.0,0,382.0,932.0,0,1052.0,1550.0,1,3025.0,1464.0,0,4079.0,0.0,1,,1500,1800
19,AlisherZ,4422.0,0,0,0,1542,1757,482.0,0,599.0,916.0,0,1272.0,1688.0,0,2348.0,1336.0,0,5020.0,0.0,0,,1542,1757
19,LOVESY,4422.0,0,0,0,1651,1781,488.0,0,396.0,904.0,0,1446.0,1696.0,0,2322.0,1334.0,1,4620.0,0.0,0,,1651,1781
21,DVH312,4418.0,0,0,0,1681,1784,482.0,0,563.0,928.0,0,1133.0,1736.0,0,1981.0,1272.0,0,5462.0,0.0,0,,1681,1784
22,DMH,4388.0,0,0,0,1416,1709,480.0,0,636.0,928.0,0,1121.0,1574.0,1,2868.0,1406.0,1,4104.0,0.0,0,,1416,1709
23,abzaloid,4372.0,0,0,1,1487,1738,490.0,0,332.0,924.0,0,1193.0,1792.0,0,1580.0,1216.0,4,4399.0,0.0,0,,1487,1738
24,uc-nuts,4368.0,0,3,1,1688,1783,474.0,0,831.0,860.0,0,2154.0,1488.0,0,3842.0,1296.0,0,5291.0,0.0,0,,1688,1783
25,ho-jo-bo-ro-lo,4334.0,0,2,0,1668,1781,486.0,0,433.0,904.0,0,1487.0,1456.0,0,4123.0,1288.0,0,5375.0,0.0,0,,1668,1781
26,ShiXingxing8,4320.0,0,1,0,1500,1797,488.0,0,403.0,920.0,0,1228.0,1744.0,0,1971.0,1068.0,2,6254.0,0.0,0,,1500,1797
27,maks1906,4312.0,0,2,0,1677,1781,0.0,2,,948.0,0,804.0,1612.0,2,2169.0,1552.0,0,3407.0,0.0,0,,1677,1781
28,pkwv2012,4310.0,0,0,0,1500,1797,482.0,0,588.0,916.0,0,1290.0,1648.0,0,2640.0,1264.0,0,5566.0,0.0,0,,1500,1797
29,__17,4260.0,0,0,0,1631,1774,468.0,0,984.0,864.0,0,2065.0,1608.0,0,2973.0,1320.0,0,5102.0,0.0,0,,1631,1774
30,doanminhdragon,4248.0,0,0,0,1481,1733,466.0,0,1045.0,848.0,0,2310.0,1648.0,0,2650.0,1286.0,1,5024.0,0.0,0,,1481,1733
31,stolis,4238.0,0,0,0,1500,1796,486.0,0,421.0,932.0,0,1030.0,1686.0,1,2021.0,1134.0,5,4670.0,0.0,0,,1500,1796
32,Zzyzx,4232.0,0,0,0,1682,1779,370.0,0,3901.0,784.0,0,3299.0,1272.0,0,5516.0,1806.0,1,1080.0,0.0,0,,1682,1779
33,Tangjz,4198.0,0,0,0,1551,1755,476.0,0,746.0,892.0,0,1673.0,1424.0,0,4333.0,1406.0,1,4120.0,0.0,0,,1551,1755
34,dh3014,4146.0,0,0,0,1691,1779,482.0,0,591.0,908.0,0,1439.0,1486.0,1,3488.0,1270.0,1,5140.0,0.0,0,,1691,1779
34,egaeus,4146.0,0,0,0,1617,1769,488.0,0,398.0,908.0,0,1409.0,1224.0,0,5854.0,1526.0,1,3198.0,0.0,0,,1617,1769
36,team404,4138.0,0,0,0,1506,1741,460.0,0,1207.0,880.0,0,1854.0,1518.0,1,3262.0,1280.0,0,5433.0,0.0,0,,1506,1741
37,ashkan_d13,4130.0,0,0,1,1686,1778,486.0,0,473.0,916.0,0,1289.0,1632.0,0,2764.0,1146.0,3,5302.0,0.0,0,,1686,1778
38,bigmingod,4120.0,0,1,0,1510,1741,414.0,0,2583.0,764.0,0,3594.0,1768.0,0,1786.0,1074.0,3,5858.0,0.0,0,,1510,1741
39,I.Smirn0ff,4110.0,0,0,0,1534,1748,480.0,0,624.0,888.0,0,1683.0,1648.0,0,2663.0,1094.0,1,6468.0,0.0,0,,1534,1748
40,ntfactorial,4100.0,0,0,0,1500,1794,478.0,0,673.0,854.0,1,1454.0,1496.0,0,3786.0,1272.0,0,5498.0,0.0,0,,1500,1794
41,win_for_misaka,4098.0,0,0,0,1660,1773,468.0,0,1018.0,840.0,0,2412.0,1520.0,0,3656.0,1270.0,1,5105.0,0.0,0,,1660,1773
42,McGinn,4096.0,0,0,0,1488,1732,474.0,0,800.0,892.0,0,1637.0,1608.0,0,2947.0,1122.0,3,5482.0,0.0,0,,1488,1732
43,ecapia,4086.0,0,0,0,1661,1772,476.0,0,764.0,860.0,0,2116.0,1496.0,0,3791.0,1254.0,1,5244.0,0.0,0,,1661,1772
44,CST14-Zpw987,4084.0,0,0,0,1696,1775,484.0,0,532.0,840.0,0,2407.0,1544.0,0,3466.0,1216.0,0,5919.0,0.0,0,,1696,1775
45,biu,4066.0,0,0,0,1345,1667,474.0,0,798.0,864.0,0,2048.0,1488.0,0,3869.0,1240.0,0,5750.0,0.0,0,,1345,1667
46,ERIC12138,4060.0,0,0,0,1398,1694,206.0,2,5825.0,628.0,0,5615.0,1708.0,2,1467.0,1518.0,1,3254.0,0.0,0,,1398,1694
47,droidkid,4052.0,0,0,0,1654,1770,412.0,1,1194.0,840.0,0,2429.0,1560.0,0,3330.0,1240.0,0,5735.0,0.0,0,,1654,1770
48,ilim,4050.0,0,0,0,1480,1728,486.0,0,471.0,900.0,0,1514.0,1472.0,0,3992.0,1192.0,0,6095.0,0.0,0,,1480,1728
49,dnvtmf,4048.0,0,0,0,1655,1770,482.0,0,565.0,880.0,0,1858.0,1504.0,0,3722.0,1182.0,1,5765.0,0.0,0,,1655,1770
50,nikitaevg,4040.0,0,0,0,1610,1762,484.0,0,520.0,908.0,0,1388.0,1468.0,2,3250.0,1180.0,2,5432.0,0.0,0,,1610,1762
51,Minacor,4038.0,0,0,0,1625,1764,480.0,0,619.0,786.0,1,2484.0,1568.0,0,3292.0,1204.0,2,5269.0,0.0,0,,1625,1764
52,yum,4026.0,0,0,0,1506,1736,406.0,0,2844.0,836.0,0,2499.0,1488.0,0,3892.0,1296.0,0,5322.0,0.0,0,,1506,1736
53,Sergiu,4024.0,0,0,0,1675,1770,494.0,0,235.0,952.0,0,757.0,1490.0,3,2707.0,1088.0,4,5351.0,0.0,0,,1675,1770
54,sha384,4020.0,0,0,0,1606,1760,488.0,0,367.0,928.0,0,1110.0,1616.0,0,2896.0,988.0,2,6881.0,0.0,0,,1606,1760
55,bvyujw845,4010.0,0,0,0,1542,1745,474.0,0,780.0,812.0,0,2823.0,1452.0,2,3369.0,1272.0,0,5518.0,0.0,0,,1542,1745
56,maopao,4008.0,0,0,0,1550,1747,424.0,1,810.0,824.0,0,2677.0,1528.0,0,3542.0,1232.0,0,5808.0,0.0,0,,1550,1747
