INFO:root:Script begins running at 2023-02-10 16:01:33.286850
ERROR:root:Could not find contest with id 692
ERROR:root:Could not find contest with id 693
ERROR:root:Could not find contest with id 694
ERROR:root:Could not find contest with id 726
ERROR:root:Could not find contest with id 728
ERROR:root:Could not find contest with id 783
ERROR:root:Could not find contest with id 824
ERROR:root:Could not find contest with id 826
ERROR:root:Could not find contest with id 829
ERROR:root:Could not find contest with id 836
ERROR:root:Could not find contest with id 857
ERROR:root:Could not find contest with id 874
ERROR:root:Could not find contest with id 880
ERROR:root:Could not find contest with id 881
ERROR:root:Could not find contest with id 882
ERROR:root:Could not find contest with id 885
ERROR:root:Could not find contest with id 905
ERROR:root:Could not find contest with id 941
ERROR:root:Could not find contest with id 942
ERROR:root:Could not find contest with id 943
ERROR:root:Could not find contest with id 945
ERROR:root:Could not find contest with id 968
ERROR:root:Could not find contest with id 969
ERROR:root:Could not find contest with id 970
ERROR:root:Could not find contest with id 971
ERROR:root:Could not find contest with id 972
ERROR:root:Could not find contest with id 973
ERROR:root:Could not find contest with id 974
ERROR:root:Could not find contest with id 1018
ERROR:root:Could not find contest with id 1021
ERROR:root:Could not find contest with id 1022
ERROR:root:Could not find contest with id 1024
ERROR:root:Could not find contest with id 1026
ERROR:root:Could not find contest with id 1035
ERROR:root:Could not find contest with id 1048
ERROR:root:Could not find contest with id 1049
ERROR:root:Could not find contest with id 1050
ERROR:root:Could not find contest with id 1069
ERROR:root:Could not find contest with id 1094
ERROR:root:Could not find contest with id 1122
ERROR:root:Could not find contest with id 1123
ERROR:root:Could not find contest with id 1124
ERROR:root:Could not find contest with id 1125
ERROR:root:Could not find contest with id 1126
ERROR:root:Could not find contest with id 1127
ERROR:root:Could not find contest with id 1128
ERROR:root:Could not find contest with id 1134
ERROR:root:Could not find contest with id 1135
ERROR:root:Could not find contest with id 1222
ERROR:root:Could not find contest with id 1224
ERROR:root:Could not find contest with id 1226
ERROR:root:Could not find contest with id 1232
ERROR:root:Could not find contest with id 1233
ERROR:root:Could not find contest with id 1258
ERROR:root:Could not find contest with id 1289
ERROR:root:Could not find contest with id 1306
ERROR:root:Could not find contest with id 1317
ERROR:root:Could not find contest with id 1318
ERROR:root:Could not find contest with id 1390
ERROR:root:Could not find contest with id 1410
ERROR:root:Could not find contest with id 1412
ERROR:root:Could not find contest with id 1414
ERROR:root:Could not find contest with id 1429
ERROR:root:Could not find contest with id 1448
ERROR:root:Could not find contest with id 1449
ERROR:root:Could not find contest with id 1502
ERROR:root:Could not find contest with id 1507
ERROR:root:Could not find contest with id 1518
ERROR:root:Could not find contest with id 1564
ERROR:root:Could not find contest with id 1565
ERROR:root:Could not find contest with id 1568
ERROR:root:Could not find contest with id 1577
ERROR:root:Could not find contest with id 1587
ERROR:root:Could not find contest with id 1590
ERROR:root:Could not find contest with id 1595
ERROR:root:Could not find contest with id 1596
ERROR:root:Could not find contest with id 1597
ERROR:root:Could not find contest with id 1636
ERROR:root:Could not find contest with id 1640
INFO:root:1641 uses a merged result table
INFO:root:1642 uses a merged result table
ERROR:root:Could not find contest with id 1643
INFO:root:1644 uses a merged result table
ERROR:root:Could not find contest with id 1653
ERROR:root:Could not find contest with id 1655
ERROR:root:Could not find contest with id 1664
INFO:root:1679 uses a merged result table
ERROR:root:Could not find contest with id 1683
INFO:root:1692 uses a merged result table
INFO:root:1702 uses a merged result table
ERROR:root:Could not find contest with id 1727
ERROR:root:Could not find contest with id 1745
ERROR:root:Could not find contest with id 1756
ERROR:root:Could not find contest with id 1757
INFO:root:1774 uses a merged result table
ERROR:root:Could not find contest with id 1776
ERROR:root:Could not find contest with id 1789
